,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date Time
0,coihaique,-45.58,-72.07,78.8,39,6,4.7,CL,1578862590
1,saint anthony,45.02,-93.22,21.2,62,1,6.93,US,1578862590
2,ewa beach,21.32,-158.01,75.2,88,90,11.41,US,1578862591
3,fortuna,40.6,-124.16,50.0,93,90,6.93,US,1578862591
4,albany,42.6,-73.97,46.4,92,90,19.46,US,1578862591
5,dingle,11.0,122.67,71.85,91,78,6.46,PH,1578862591
6,nikolskoye,59.7,30.79,41.0,93,75,8.95,RU,1578862591
7,geraldton,-28.77,114.6,68.0,82,0,11.41,AU,1578862591
8,khushab,32.3,72.35,52.39,68,100,8.12,PK,1578862591
9,vila franca do campo,37.72,-25.43,57.2,67,40,5.82,PT,1578862591
10,sentyabrskiy,8.64,-72.74,86.94,57,9,5.88,CO,1578862592
11,tibu,55.74,-97.86,-2.2,84,90,5.82,CA,1578862592
12,thompson,31.61,34.76,55.4,82,75,8.05,IL,1578862441
13,gat,-9.8,-139.03,81.01,76,0,16.62,PF,1578862592
14,atuona,-54.8,-68.3,53.6,58,75,16.11,AR,1578862592
15,ushuaia,-10.41,-36.43,80.22,76,0,9.15,BR,1578862592
16,piacabucu,39.74,98.52,14.59,46,100,3.36,CN,1578862592
17,jiuquan,4.14,96.13,80.53,80,30,8.25,ID,1578862593
18,meulaboh,45.13,42.03,30.2,100,90,11.18,RU,1578862593
19,mikhaylovsk,77.48,-69.36,-10.59,45,0,1.7,GL,1578862593
20,qaanaaq,-33.65,115.33,60.01,48,69,12.73,AU,1578862593
21,busselton,-13.7,-76.22,72.0,30,20,14.99,PE,1578862593
22,pisco,64.38,-173.3,30.2,80,90,22.37,RU,1578862593
23,provideniya,3.07,172.79,83.53,77,80,14.9,KI,1578862594
24,huazolotitlan,-21.34,55.48,77.0,88,34,4.7,RE,1578862594
25,butaritari,41.87,72.94,19.17,96,100,0.56,KG,1578862594
26,saint-pierre,-38.0,-57.56,68.0,56,0,16.11,AR,1578862510
27,toktogul,-3.75,103.64,66.65,96,99,2.62,ID,1578862594
28,mar del plata,19.73,-155.09,78.8,74,90,4.7,US,1578862317
29,payo,-20.23,164.02,79.86,78,100,24.38,NC,1578862594
30,hilo,42.1,-79.24,33.01,86,90,11.41,US,1578862594
31,poum,71.92,114.08,-4.86,98,100,4.16,RU,1578862595
32,jamestown,62.46,-114.35,-38.2,65,20,4.7,CA,1578862507
33,saskylakh,37.8,-25.58,57.2,67,40,5.82,PT,1578862595
34,yellowknife,-23.12,-134.97,76.1,80,15,16.75,PF,1578862595
35,rabo de peixe,-34.53,20.04,66.99,84,20,1.99,ZA,1578862595
36,rikitea,73.51,80.55,-9.69,96,100,16.22,RU,1578862596
37,vaitupu,-33.93,18.42,73.0,88,20,12.75,ZA,1578862596
38,bredasdorp,66.94,-53.67,-2.54,47,0,12.1,GL,1578862596
39,dikson,17.89,-77.59,81.23,53,0,9.6,JM,1578862596
40,cape town,-42.88,147.33,68.0,55,20,13.87,AU,1578862492
41,sisimiut,-21.21,-159.78,82.4,74,45,16.11,CK,1578862596
42,bull savanna,41.26,125.37,-2.94,97,33,1.5,CN,1578862596
43,hobart,-40.96,175.66,62.01,85,100,7.0,NZ,1578862596
44,avarua,64.89,-23.71,26.91,73,100,40.24,IS,1578862596
45,huanren,-21.2,-175.2,82.4,83,75,10.29,TO,1578862597
46,masterton,28.32,109.72,36.9,92,12,2.53,CN,1578862597
47,olafsvik,-42.78,147.06,68.0,55,20,13.87,AU,1578862597
48,ust-kamchatsk,-22.97,-42.03,84.2,79,75,14.99,BR,1578862334
49,vaini,17.87,76.95,62.62,26,0,5.26,IN,1578862597
50,jishou,5.28,115.24,77.0,94,75,1.12,MY,1578862598
51,new norfolk,41.3,-96.17,25.0,85,90,4.7,US,1578862598
52,belushya guba,7.53,-12.51,79.48,85,0,7.14,SL,1578862598
53,arraial do cabo,-4.58,-81.27,62.6,100,0,11.41,PE,1578862598
54,basavakalyan,-16.48,-151.75,81.27,80,100,19.53,PF,1578862598
55,mys shmidta,-24.79,-50.01,71.4,95,100,7.61,BR,1578862598
56,labuan,54.02,-124.02,-5.75,76,86,10.2,CA,1578862599
57,douglas,32.67,-17.1,62.6,67,40,6.93,PT,1578862599
58,bonthe,10.44,45.01,77.22,74,9,5.23,SO,1578862599
59,talara,-24.87,113.63,77.0,69,51,17.22,AU,1578862599
60,faanui,41.37,-73.41,68.0,36,1,14.99,US,1578862470
61,castro,-20.41,57.7,80.6,78,75,5.82,MU,1578862504
62,vanderhoof,38.42,-121.42,55.4,71,1,8.05,US,1578862599
63,ponta do sol,33.73,135.98,47.61,68,0,23.58,JP,1578862600
64,berbera,49.75,-77.63,-2.2,77,75,8.05,CA,1578862600
65,carnarvon,-33.02,27.91,75.2,86,3,7.96,ZA,1578862600
66,bethel,49.78,-74.85,-2.2,70,90,12.75,CA,1578862600
67,grand river south east,-5.36,104.97,71.67,96,100,0.45,ID,1578862600
68,mahebourg,-21.15,149.2,78.8,83,40,6.93,AU,1578862600
69,laguna,78.22,15.64,-2.2,53,20,9.17,SJ,1578862600
70,nizhneyansk,69.38,178.42,-4.67,98,93,7.94,RU,1578862601
71,shingu,48.23,129.5,-5.04,99,100,3.49,CN,1578862601
72,matagami,5.52,5.75,80.38,78,0,4.56,NG,1578862581
73,east london,-53.15,-70.92,60.8,63,75,18.34,CL,1578862321
74,chapais,-34.58,150.86,66.99,100,79,6.17,AU,1578862601
75,pringsewu,16.45,-85.85,80.69,77,0,25.46,HN,1578862601
76,mackay,63.28,118.33,-6.72,95,36,7.61,RU,1578862602
77,longyearbyen,69.49,88.4,-11.2,83,40,13.42,RU,1578862602
78,leningradskiy,-1.2,-46.02,81.97,78,100,12.24,BR,1578862602
79,xinqing,51.06,-0.33,46.4,93,20,5.82,GB,1578862336
80,warri,49.98,92.07,-14.08,95,100,1.99,MN,1578862602
81,punta arenas,69.22,-51.1,-2.2,36,100,2.24,GL,1578862602
82,taolanaro,-30.18,-50.21,77.13,68,0,8.08,BR,1578862554
83,flinders,-8.38,-74.55,95.14,34,23,7.47,PE,1578862497
84,savannah bight,41.14,-73.36,68.0,32,1,20.8,US,1578862463
85,nyurba,-46.19,168.86,52.0,78,78,7.0,NZ,1578862603
86,talnakh,69.45,-133.04,-18.4,75,5,6.93,CA,1578862603
87,carutapera,-0.74,-90.35,86.0,55,20,19.46,EC,1578862603
88,horsham,-34.73,135.87,68.25,67,0,6.64,AU,1578862603
89,ulaangom,70.37,31.11,30.2,80,75,18.34,NO,1578862603
90,ilulissat,22.08,-159.32,75.2,83,75,13.87,US,1578862604
91,barentsburg,-38.38,142.48,55.99,93,0,10.27,AU,1578862604
92,cidreira,-33.59,26.89,70.0,93,39,6.85,ZA,1578862604
93,pucallpa,42.33,13.95,46.0,81,40,4.7,IT,1578862604
94,westport,57.47,31.12,39.04,91,100,11.14,RU,1578862604
95,mataura,67.63,134.63,-35.16,88,0,3.58,RU,1578862604
96,tuktoyaktuk,28.23,83.98,47.71,86,0,1.99,NP,1578862604
97,puerto ayora,-13.54,23.1,67.32,78,82,3.11,ZM,1578862604
98,port lincoln,50.63,87.96,1.18,79,100,5.57,RU,1578862605
99,vardo,21.46,-71.14,78.78,75,2,29.53,TC,1578862605
100,kapaa,50.1,-91.92,8.6,65,75,6.93,CA,1578862489
101,warrnambool,-37.62,-73.65,67.96,59,0,9.13,CL,1578862605
102,port alfred,62.88,152.43,-21.71,99,100,1.66,RU,1578862605
103,pescara,-34.42,19.23,73.0,84,0,1.99,ZA,1578862444
104,poddorye,69.3,139.9,-27.8,88,0,3.91,RU,1578862606
105,batagay,-15.2,12.15,73.53,78,100,6.82,AO,1578862606
106,pokhara,30.3,109.48,32.13,93,0,1.59,CN,1578862606
107,zambezi,-17.53,-149.33,84.2,70,75,9.17,PF,1578862606
108,attawapiskat,3.78,98.68,74.3,90,35,3.27,ID,1578862606
109,ulagan,-33.92,25.57,71.6,88,75,2.24,ZA,1578862606
110,cockburn town,44.08,-80.2,25.0,79,75,12.75,CA,1578862319
111,sioux lookout,46.43,26.4,32.0,82,0,9.17,RO,1578862607
112,lebu,-38.27,141.97,58.59,82,0,16.58,AU,1578862607
113,amderma,30.15,62.6,38.75,65,0,15.52,AF,1578862607
114,seymchan,67.68,53.15,22.73,95,100,9.86,RU,1578862607
115,hermanus,71.04,27.85,28.4,86,90,13.87,NO,1578862607
116,illoqqortoormiut,51.59,43.19,24.01,96,22,5.01,RU,1578862607
117,deputatskiy,-19.06,-169.92,78.8,88,75,6.93,NU,1578862608
118,namibe,-10.45,161.92,77.36,90,100,6.26,SB,1578862608
119,enshi,-33.7,-53.46,73.29,53,0,14.94,UY,1578862608
120,tiarei,-35.72,150.18,60.01,83,9,3.0,AU,1578862608
121,belawan,20.51,-86.95,86.0,66,40,10.29,MX,1578862608
122,port elizabeth,71.29,-156.79,-9.4,69,1,10.29,US,1578862608
123,shelburne,24.09,32.91,59.0,38,0,16.11,EG,1578862445
124,asau,54.23,-125.75,-5.78,78,17,3.24,CA,1578862608
125,codrington,-28.24,-48.67,80.6,83,40,16.11,BR,1578862609
126,rudbar,68.75,161.3,-6.99,98,100,6.58,RU,1578862609
127,iskateley,51.98,42.26,17.13,93,52,10.74,RU,1578862609
128,mehamn,-11.1,-77.61,74.93,62,25,9.26,PE,1578862609
129,repnoye,29.03,69.15,46.58,90,100,2.68,PK,1578862609
130,alofi,-22.67,167.48,77.83,79,66,20.78,NC,1578862610
131,kirakira,64.5,-165.41,15.8,85,90,19.46,US,1578862610
132,chuy,-46.6,168.33,52.0,78,67,7.0,NZ,1578862610
133,batemans bay,19.22,-104.7,87.8,70,40,11.41,MX,1578862610
134,cozumel,-3.77,-61.64,82.17,91,40,1.72,BR,1578862610
135,barrow,-20.34,57.76,80.6,78,75,5.82,MU,1578862504
136,aswan,65.61,-37.64,24.8,62,100,17.22,GL,1578862610
137,burns lake,43.8,24.08,35.01,92,0,4.7,RO,1578862611
138,imbituba,-0.22,20.87,73.74,71,0,1.79,CD,1578862611
139,cherskiy,-17.71,-39.25,79.88,84,0,17.2,BR,1578862611
140,uvarovo,-0.6,73.08,82.6,73,100,8.61,MV,1578862611
141,hualmay,-46.28,169.85,57.99,52,34,17.0,NZ,1578862611
142,dera bugti,46.39,41.87,32.59,89,74,8.88,RU,1578862611
143,vao,7.04,134.26,78.8,88,75,6.93,PW,1578862611
144,nome,48.38,-4.62,46.4,81,100,8.05,FR,1578862612
145,bluff,-21.36,55.77,77.0,88,100,4.7,RE,1578862612
146,san patricio,38.73,-27.07,53.6,76,20,18.16,PT,1578862612
147,anori,-29.68,-53.81,87.8,52,4,12.75,BR,1578862612
148,sahrak,3.46,8.55,78.8,94,20,4.7,GQ,1578862612
149,bambous virieux,25.52,90.22,56.61,78,0,4.05,IN,1578862612
150,tasiilaq,-16.69,-44.37,95.0,17,0,5.82,BR,1578862613
151,dabuleni,49.92,-109.48,-3.8,79,100,11.14,CA,1578862613
152,boende,53.67,15.12,43.0,80,90,12.75,PL,1578862613
153,caravelas,6.58,3.75,80.6,88,0,8.05,NG,1578862336
154,hithadhoo,13.6,26.69,59.72,24,0,11.79,SD,1578862613
155,kaitangata,-45.87,170.5,55.99,66,0,10.0,NZ,1578862373
156,pokanayevka,42.43,130.64,8.2,80,0,8.79,RU,1578862613
157,novyy yegorlyk,21.49,86.93,58.6,41,0,5.66,IN,1578862613
158,kloulklubed,62.0,132.43,-31.65,99,7,2.8,RU,1578862614
159,plouzane,69.8,20.93,30.2,74,20,12.75,NO,1578862614
160,saint-philippe,42.16,-72.33,64.4,41,20,21.92,US,1578862614
161,praia da vitoria,40.43,71.72,35.6,80,75,2.24,UZ,1578862614
162,santa maria,71.97,102.5,-0.89,89,100,14.74,RU,1578862614
163,luba,65.75,150.85,-17.19,98,100,2.64,RU,1578862614
164,tura,-28.27,-49.17,69.01,91,14,15.99,BR,1578862614
165,coracao de jesus,1.57,9.61,80.6,100,40,3.36,GQ,1578862614
166,maple creek,-5.2,-35.46,82.4,69,13,13.87,BR,1578862615
167,nowogard,5.41,100.34,80.6,88,20,2.24,MY,1578862528
168,lagos,71.69,128.87,-8.82,85,100,10.65,RU,1578862615
169,umm kaddadah,65.28,-126.83,-18.4,75,20,2.26,CA,1578862615
170,dunedin,35.73,140.83,37.0,100,75,1.12,JP,1578862615
171,khasan,21.43,39.83,61.21,24,0,0.83,SA,1578862562
172,baleshwar,-7.02,-45.48,81.54,73,17,3.36,BR,1578862616
173,churapcha,-8.76,31.11,61.0,95,100,0.89,ZM,1578862616
174,sorkjosen,67.45,153.68,-12.15,98,100,6.58,RU,1578862616
175,palmer,41.47,-91.13,28.4,79,90,9.17,US,1578862616
176,komsomolskiy,48.1,136.1,0.34,89,100,5.32,RU,1578862616
177,khatanga,38.52,-28.7,59.0,62,40,16.11,PT,1578862616
178,zyryanka,58.81,-122.7,-14.8,75,75,3.36,CA,1578862617
179,braco do norte,-10.95,-75.23,73.56,85,44,2.8,PE,1578862617
180,mbini,-5.56,-80.82,70.29,88,13,17.65,PE,1578862617
181,touros,40.66,-73.58,68.0,34,1,21.92,US,1578862579
182,georgetown,43.82,144.1,23.07,96,100,0.47,JP,1578862617
183,skalistyy,48.88,-72.45,8.01,84,90,11.41,CA,1578862551
184,tiksi,10.94,-14.3,72.25,50,0,3.76,GN,1578862618
185,norman wells,70.47,-68.59,-14.8,75,75,17.22,CA,1578862618
186,hasaki,33.08,-16.33,62.6,67,20,8.05,PT,1578862618
187,mecca,70.98,25.97,28.4,86,90,13.87,NO,1578862618
188,sao raimundo das mangabeiras,60.5,22.17,37.99,86,75,10.29,FI,1578862618
189,mpulungu,-3.8,102.27,73.47,84,90,3.38,ID,1578862618
190,srednekolymsk,15.85,-97.07,84.2,79,5,6.93,MX,1578862391
191,muscatine,50.68,156.12,25.48,97,100,13.27,RU,1578862619
192,mukhen,29.19,72.85,61.93,25,63,9.42,PK,1578862619
193,ribeira grande,65.85,44.24,25.34,86,96,14.34,RU,1578862619
194,fort nelson,-41.87,-73.82,73.4,56,64,8.05,CL,1578862619
195,perene,72.79,-56.15,-9.45,63,34,5.99,GL,1578862619
196,bolungarvik,6.12,81.12,78.44,73,0,22.35,LK,1578862619
197,sechura,66.15,-65.71,-22.0,67,40,1.41,CA,1578862620
198,freeport,17.08,122.42,73.38,86,82,3.65,PH,1578862620
199,bihoro,60.87,60.42,17.44,86,100,11.41,RU,1578862620
200,albanel,-21.64,-41.05,86.0,70,40,13.87,BR,1578862620
201,yeletskiy,6.8,81.48,68.63,92,0,4.74,LK,1578862621
202,boke,-23.13,150.73,77.0,78,100,6.93,AU,1578862621
203,clyde river,20.7,-105.2,80.6,57,40,5.82,MX,1578862621
204,camacha,-0.36,42.55,82.38,80,17,13.0,SO,1578862621
205,honningsvag,18.44,1.41,60.66,17,0,16.84,ML,1578862621
206,raisio,0.53,72.93,81.73,78,100,9.57,MV,1578862621
207,bengkulu,11.97,-85.17,86.0,58,40,9.17,NI,1578862622
208,puerto escondido,9.28,79.3,78.76,73,0,14.18,IN,1578862622
209,maloshuyka,-5.79,-35.21,82.4,69,75,13.87,BR,1578862622
210,severo-kurilsk,50.7,-127.42,30.2,54,40,14.99,CA,1578862622
211,fort abbas,15.74,-96.47,91.4,46,5,9.48,MX,1578862622
212,mezen,-13.68,48.45,77.52,87,34,6.06,MG,1578862622
213,ancud,36.62,-121.92,55.99,66,1,11.05,US,1578862450
214,upernavik,-10.62,150.67,75.74,89,99,3.27,PG,1578862623
215,hambantota,6.13,102.24,77.0,88,20,2.24,MY,1578862623
216,jiddah,-2.67,141.3,80.94,84,100,15.46,PG,1578862623
217,pangnirtung,57.16,10.15,42.01,97,67,1.99,DK,1578862623
218,senmonorom,32.77,22.64,59.36,65,0,6.13,LY,1578862623
219,dicabisagan,66.04,-17.34,23.0,73,40,17.22,IS,1578862624
220,polunochnoye,15.11,104.33,71.01,83,20,6.93,TH,1578862624
221,sao joao da barra,37.46,-122.43,55.99,71,90,9.17,US,1578862624
222,wattegama,51.18,-115.57,-11.0,69,100,7.0,CA,1578862335
223,yeppoon,69.7,170.31,-2.18,96,100,5.77,RU,1578862624
224,ixtapa,63.83,20.26,32.0,86,0,5.82,SE,1578862624
225,tsihombe,51.75,11.47,43.0,80,20,19.46,DE,1578862625
226,kismayo,-33.87,121.9,64.4,72,90,12.75,AU,1578862625
227,kidal,29.85,80.53,36.23,45,48,10.04,IN,1578862625
228,thinadhoo,-7.36,-35.44,86.0,45,75,16.11,BR,1578862625
229,acoyapa,37.47,-4.44,44.01,86,0,3.09,ES,1578862625
230,artyk,33.19,-82.53,66.2,86,90,3.36,US,1578862625
231,rameswaram,32.33,50.86,17.6,85,100,2.24,IR,1578862625
232,natal,-13.2,49.05,75.07,90,100,8.08,MG,1578862446
